nr;czas;koszt
3;0.183684;4353
3;0.219131;4286
3;0.231745;4275
3;0.231783;4271
3;0.232814;4270
3;0.243608;4251
3;0.244187;4249
3;0.258902;4175
3;0.281254;4151
3;0.286418;4116
3;0.290746;4112
3;0.291925;4082
3;0.30068;4064
3;0.313419;4046
3;0.323596;4010
3;0.3613;3993
3;0.370389;3965
3;0.374672;3933
3;0.376005;3904
3;0.420151;3842
3;0.424255;3837
3;0.435108;3831
3;0.435545;3809
3;0.438542;3781
3;0.45082;3777
3;0.454506;3772
3;0.455095;3770
3;0.458284;3757
3;0.459083;3747
3;0.459285;3725
3;0.464326;3708
3;0.484697;3684
3;0.498765;3664
3;0.505287;3644
3;0.730013;3640
3;0.768532;3607
3;0.790372;3593
3;0.799617;3590
3;0.874147;3575
3;0.912693;3571
3;1.03053;3518
3;1.2063;3490
3;23.5447;3481
3;82.9335;3470
3;83.0606;3468
3;83.0897;3444
4;1.9334e-05;7137
4;5.0375e-05;7009
4;5.3625e-05;6934
4;0.000151917;6916
4;0.000323375;6911
4;0.000673959;6904
4;0.000712875;6845
4;0.000853792;6799
4;0.000890292;6705
4;0.00113937;6628
4;0.00123592;6601
4;0.00157121;6592
4;0.00168279;6540
4;0.00199987;6440
4;0.00226312;6438
4;0.00232004;6361
4;0.00259413;6339
4;0.00317596;6315
4;0.00338471;6254
4;0.00339646;6244
4;0.00339904;6224
4;0.00359279;6185
4;0.00406146;6163
4;0.00465042;6147
4;0.00552933;6145
4;0.00597721;6124
4;0.00663725;6084
4;0.00741054;6051
4;0.00741967;6020
4;0.00775017;5960
4;0.00961158;5922
4;0.009743;5909
4;0.009893;5894
4;0.0102991;5888
4;0.0107477;5876
4;0.0123673;5820
4;0.0126208;5787
4;0.0128861;5759
4;0.0136626;5715
4;0.0146778;5712
4;0.0147008;5626
4;0.0150563;5608
4;0.0151387;5600
4;0.0162581;5590
4;0.0169412;5585
4;0.0169731;5542
4;0.0171906;5525
4;0.017654;5491
4;0.018032;5426
4;0.0180527;5378
4;0.0221575;5363
4;0.0238385;5359
4;0.0253028;5308
4;0.0256243;5266
4;0.0260071;5219
4;0.0276449;5218
4;0.028637;5216
4;0.0287552;5203
4;0.0288843;5202
4;0.0289729;5182
4;0.0300075;5175
4;0.0300644;5171
4;0.0310624;5112
4;0.0326963;5088
4;0.0355045;5078
4;0.03664;5028
4;0.0366675;5014
4;0.03769;4996
4;0.0400368;4960
4;0.0403607;4957
4;0.0408045;4942
4;0.0417565;4873
4;0.0426544;4846
4;0.0437987;4835
4;0.0441272;4770
4;0.0464502;4691
4;0.0465634;4683
4;0.0481298;4668
4;0.049474;4647
4;0.0506978;4637
4;0.0530791;4563
4;0.055378;4504
4;0.0557477;4491
4;0.061522;4489
4;0.0617487;4475
4;0.0650699;4469
4;0.0651404;4467
4;0.0653331;4465
4;0.066134;4428
4;0.0695359;4409
4;0.0708075;4387
4;0.0720497;4355
4;0.0790453;4311
4;0.087789;4285
4;0.0897478;4276
4;0.0913386;4273
4;0.0931419;4270
4;0.102129;4268
4;0.105999;4229
4;0.108116;4207
4;0.109434;4203
4;0.115482;4188
4;0.11925;4158
4;0.125244;4152
4;0.133319;4101
4;0.144137;4036
4;0.16144;4018
4;0.176128;4015
4;0.182205;4011
4;0.195892;3998
4;0.211024;3974
4;0.2492;3970
4;0.254359;3969
4;0.271029;3949
4;0.287629;3937
4;0.288593;3927
4;0.290257;3874
4;0.453008;3856
4;0.462168;3843
4;0.464162;3832
4;0.481984;3824
4;0.714586;3769
4;0.730172;3719
4;0.841856;3686
4;0.996318;3681
4;1.15597;3677
4;1.16288;3662
4;1.18223;3658
4;1.21822;3638
4;1.35563;3624
4;1.82985;3615
4;3.77711;3585
4;4.11494;3584
4;4.12547;3525
4;4.14032;3512
4;4.59716;3511
4;4.6149;3450
4;4.99927;3428
4;5.07522;3386
4;5.145;3363
